Año,Cantón,Provincia,Empleo total registrado,Empleo masculino registrado,Empleo femenino registrado,Salario promedio total registrado,Salario mensual promedio masculino registrado,Salario mensual promedio femenino registrado,Ventas locales,Recaudación tributaria,Valor agregado bruto de producción,Población,Número de nuevas compañías,Valor agregado bruto de producción per cápita,variación interanual de la producción per cápita,variación interanual real de la producción per cápita
2019,Gonzanamá ,Loja,1493.833333,741,752.8333333,862.5453288,819.827769,904.6474559,13423680.31,640026.43,19465950,12781,4,1523.038103,12.50183654,12.2354202
2020,Gonzanamá ,Loja,1454.25,711.6666667,742.5833333,858.0982634,818.9044342,895.6828206,11684684.33,468604.18,17764400,12674,2,1401.641155,-7.970709862,-7.632110704
2021,Gonzanamá ,Loja,1425.083333,698.3333333,726.75,837.6016679,798.7389577,874.9466044,12539329.05,614930.47,17831010,12573,5,1418.198521,1.181284201,1.039853442
2022,Gonzanamá ,Loja,1424.333333,697.1666667,727.1666667,836.7757111,790.1776632,881.4336192,13587096.07,926473.64,19837180,12502,0,1586.720525,11.88282188,8.419000894
2023,Gonzanamá ,Loja,1558.333333,781.25,777.0833333,897.8477783,825.4798279,970.6239929,20697318.94,1416425.54,24818290,12462,12,1991.517413,25.51154295,23.29137213
2024,Gonzanamá ,Loja,1508.583333,738.4166667,770.1666667,892.6523132,825.415212,957.1473083,19100186.68,1212716.58,,,7,,,
2019,Macará ,Loja,1544.083333,834.4166667,709.6666667,753.8917542,712.6856384,802.4972738,63799690.81,1724900.334,44248950,19472,3,2272.439914,18.34445421,18.07803788
2020,Macará ,Loja,1518.166667,815.4166667,702.75,766.9118771,739.2935638,798.9862061,60609033.03,1298760.21,39565150,19271,4,2053.09273,-9.652496525,-9.313897368
2021,Macará ,Loja,1462.833333,761.9166667,700.9166667,770.5052969,744.0802714,799.2949677,66229054.06,1584431.84,37107890,19058,8,1947.103054,-5.162439797,-5.303870557
2022,Macará ,Loja,1494,774,720,769.4314168,742.1902364,798.6940511,72985769.65,1863444.47,38999930,18878,8,2065.893103,6.100860918,2.637039934
2023,Macará ,Loja,1506.083333,790,716.0833333,810.9668376,773.470225,852.3788656,77629278.43,2010494.1,40838450,18738,11,2179.445512,5.496528767,3.276357945
2024,Macará ,Loja,1519.083333,783.5833333,735.5,809.1735789,771.036143,849.8196411,78585112.44,1848156.22,,,8,,,
2019,Paltas,Loja,1398,656.25,741.75,811.6390025,741.6856639,873.6579183,24674659.74,1283681.11,39672590,24297,2,1632.818455,16.39732094,16.1309046
2020,Paltas,Loja,1387.833333,662.3333333,725.5,811.9347501,741.1943512,876.9848328,21303691.59,815677.53,35543210,23997,3,1481.152227,-9.288615469,-8.950016312
2021,Paltas,Loja,1470.166667,697.9166667,772.25,815.7405163,733.4923503,890.1373444,25673547.79,1303273.54,32047130,23693,6,1352.59908,-8.679266391,-8.82069715
2022,Paltas,Loja,1624.583333,769.6666667,854.9166667,829.7615611,740.9682414,909.9811707,30763395.08,1556036.78,35500820,23435,8,1514.863239,11.99647118,8.5326502
2023,Paltas,Loja,1671.833333,791.3333333,880.5,868.6337891,764.7575022,962.0579987,28128224.03,1392779.08,40046210,23235,8,1723.529589,13.7745999,11.55442908
